Date,Time,Weather_State,Weather_State_Previous,Location,Temp_F,Humidity,UserID,Program_ProcessTime,Program_ClockTime,Change_Status,Error_Status,userID_ProcessTime,userID_ClockTime,weatherReport_ProcessTime,weatherReport_ClockTime,weatherPreviousRead_ProcessTime,weatherPreviousRead_ClockTime,keyPress_ProcessTime,keyPress_ClockTime,weatherConversion_ProcessTime,weatherConversion_ClockTime
2023-01-08,00:18:43,Clouds,Clouds,Burlington,19.54,81.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.03125,0.12091,0.0,0.0005,0.0,0.325,,
2023-01-08,00:18:46,Clouds,Clouds,Burlington,19.54,81.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.01562,0.12802,0.0,0.0005,0.0,0.31645,,
2023-01-08,00:18:47,Clouds,Clouds,Burlington,19.54,81.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.03125,0.12184,0.0,0.0005,0.0,0.32343,,
2023-01-08,00:18:49,Clouds,Clouds,Burlington,19.54,81.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.01562,0.12133,0.0,0.0005,0.0,0.3237,,
2023-01-08,00:47:55,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.0,0.12563,0.0,0.0005,0.0,0.31662,0.0,0.0
2023-01-08,00:48:19,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.0,0.11762,0.01562,0.00099,0.01562,0.32431,0.0,0.0
2023-01-08,00:48:20,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.01562,0.1189,0.0,0.0005,0.0,0.31904,0.0,0.0
2023-01-08,00:48:21,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.0,0.12445,0.0,0.00018,0.0,0.3293,0.0,0.0
2023-01-08,00:48:22,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.01562,0.12726,0.0,0.00075,0.0,0.32676,0.0,0.0
2023-01-08,00:49:13,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.0,0.11473,0.0,0.00099,0.0,0.32702,0.0,0.0
2023-01-08,00:51:00,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0005,0.01562,0.11529,0.0,0.0005,0.0,0.32574,0.0,0.0
2023-01-08,00:51:01,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.0,0.11698,0.0,0.00052,0.0,0.32315,0.0,0.0
2023-01-08,00:52:48,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.01562,0.1223,0.0,0.0005,0.0,0.00096,0.0,0.0
2023-01-08,00:53:01,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0005,0.01562,0.11431,0.0,0.0005,0.0,0.00099,0.0,0.0
2023-01-08,00:53:02,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.0,0.10999,0.0,0.00047,0.0,0.00148,0.0,0.0
2023-01-08,00:53:03,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.01562,0.11717,0.0,0.00074,0.0,0.00149,0.0,0.0
2023-01-08,00:53:03,Clouds,Clouds,Burlington,19.06,82.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.0,0.1287,0.0,0.0005,0.0,0.00084,0.0,0.0
2023-01-08,01:20:47,Clouds,Clouds,Burlington,18.86,83.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.03125,0.39754,0.0,0.0,0.0,0.00149,0.0,0.0
2023-01-08,01:20:49,Clouds,Clouds,Burlington,18.86,83.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,EMPTY_DEFAULT,0.0,0.0,0.01562,0.12183,0.0,0.00101,0.0,0.00105,0.0,0.0
2023-01-08,01:45:45,Clouds,Clouds,Burlington,18.7,83.0,908b07fc-b184-4463-9c9d-8baf44edc66a,EMPTY_DEFAULT,EMPTY_DEFAULT,No,EMPTY_DEFAULT,0.0,0.00048,0.01562,0.12272,0.0,0.0005,0.0,0.00099,0.0,0.0
2023-01-08,01:53:10,Clouds,Clouds,Burlington,18.84,83.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.12794,No,EMPTY_DEFAULT,0.0,0.0,0.0,0.12441,0.0,0.00101,0.0,0.00252,0.0,0.0
2023-01-08,01:53:11,Clouds,Clouds,Burlington,18.84,83.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.0,0.13049,No,EMPTY_DEFAULT,0.0,0.0,0.0,0.12751,0.0,0.0005,0.0,0.00248,0.0,0.0
2023-01-08,01:53:28,Clouds,Clouds,Burlington,18.84,83.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.01562,0.1228,No,EMPTY_DEFAULT,0.0,0.0,0.01562,0.11861,0.0,0.0007,0.0,0.00348,0.0,0.0
2023-01-08,01:53:29,Clouds,Clouds,Burlington,18.84,83.0,908b07fc-b184-4463-9c9d-8baf44edc66a,0.03125,0.13888,No,EMPTY_DEFAULT,0.0,0.0,0.03125,0.13394,0.0,0.0005,0.0,0.00345,0.0,0.0
